Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage\common,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase\storage\common\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\firebase_core,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\iid,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\measurement,2,22,6,4,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\measurement\impl,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\measurement\impl\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\measurement\license,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\google\firebase\storage,1,11,3,2,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz,5,9092,9052,9187,0,10,0,30,160,30,160
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz\fastadapter,2,3102,3086,3130,0,4,0,12,64,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz\fastadapter\expandable,1,1551,1543,1565,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz\iconics,1,1546,1538,1560,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz\iconics\core,1,1546,1538,1560,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz\materialdrawer,1,2562,2554,2600,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\mikepenz\materialize,1,1882,1874,1897,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\rengwuxian,1,1143,1135,1147,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\com\rengwuxian\materialedittext,1,1143,1135,1147,0,2,0,6,32,6,32
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\pashainc,2,17143,3399,3178,0,5,0,13739,63101,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\pashainc\google,2,17143,3399,3178,0,5,0,13739,63101,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\pashainc\google\com,2,17143,3399,3178,0,5,0,13739,63101,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\build\generated\source\r\debug\pashainc\google\com\safesafari,2,17143,3399,3178,0,5,0,13739,63101,12,64
G:\FYP\Fyp Dev\SafeSafari-1\app\src,18,2100,1341,1044,64,496,6,263,831,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\androidTest,1,27,15,11,0,6,0,6,24,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\androidTest\java,1,27,15,11,0,6,0,6,24,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\androidTest\java\pashainc,1,27,15,11,0,6,0,6,24,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\androidTest\java\pashainc\google,1,27,15,11,0,6,0,6,24,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\androidTest\java\pashainc\google\com,1,27,15,11,0,6,0,6,24,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\androidTest\java\pashainc\google\com\safesafari,1,27,15,11,0,6,0,6,24,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main,16,2056,1317,1027,64,487,6,252,786,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java,16,2056,1317,1027,64,487,6,252,786,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc,16,2056,1317,1027,64,487,6,252,786,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google,16,2056,1317,1027,64,487,6,252,786,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com,16,2056,1317,1027,64,487,6,252,786,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\main\java\pashainc\google\com\safesafari,16,2056,1317,1027,64,487,6,252,786,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\test,1,17,9,6,0,3,0,5,21,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\test\java,1,17,9,6,0,3,0,5,21,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\test\java\pashainc,1,17,9,6,0,3,0,5,21,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\test\java\pashainc\google,1,17,9,6,0,3,0,5,21,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\test\java\pashainc\google\com,1,17,9,6,0,3,0,5,21,0,0
G:\FYP\Fyp Dev\SafeSafari-1\app\src\test\java\pashainc\google\com\safesafari,1,17,9,6,0,3,0,5,21,0,0
